symbol,display_symbol,description,exchange
BINANCE:DAREUR,DAR/EUR,Binance DAR/EUR,BINANCE
BINANCE:GTOBTC,GTO/BTC,Binance GTO/BTC,BINANCE
BINANCE:SNMBTC,SNM/BTC,Binance SNM/BTC,BINANCE
BINANCE:ONTUSDT,ONT/USDT,Binance ONT/USDT,BINANCE
BINANCE:LUNABUSD,LUNA/BUSD,Binance LUNA/BUSD,BINANCE
BINANCE:OMGBTC,OMG/BTC,Binance OMG/BTC,BINANCE
BINANCE:NANOBTC,NANO/BTC,Binance NANO/BTC,BINANCE
BINANCE:YGGBTC,YGG/BTC,Binance YGG/BTC,BINANCE
BINANCE:QSPETH,QSP/ETH,Binance QSP/ETH,BINANCE
BINANCE:ADAUSDT,ADA/USDT,Binance ADA/USDT,BINANCE
BINANCE:OPBUSD,OP/BUSD,Binance OP/BUSD,BINANCE
BINANCE:NCASHETH,NCASH/ETH,Binance NCASH/ETH,BINANCE
BINANCE:KMDBTC,KMD/BTC,Binance KMD/BTC,BINANCE
BINANCE:ACMBTC,ACM/BTC,Binance ACM/BTC,BINANCE
BINANCE:XTZETH,XTZ/ETH,Binance XTZ/ETH,BINANCE
BINANCE:IOTABTC,IOTA/BTC,Binance IOTA/BTC,BINANCE
BINANCE:EGLDBUSD,EGLD/BUSD,Binance EGLD/BUSD,BINANCE
BINANCE:BETHBUSD,BETH/BUSD,Binance BETH/BUSD,BINANCE
BINANCE:ADABNB,ADA/BNB,Binance ADA/BNB,BINANCE
BINANCE:RCNBNB,RCN/BNB,Binance RCN/BNB,BINANCE
BINANCE:NEOBNB,NEO/BNB,Binance NEO/BNB,BINANCE
BINANCE:BLZBUSD,BLZ/BUSD,Binance BLZ/BUSD,BINANCE
BINANCE:MANABUSD,MANA/BUSD,Binance MANA/BUSD,BINANCE
BINANCE:DLTBNB,DLT/BNB,Binance DLT/BNB,BINANCE
BINANCE:ARBTC,AR/BTC,Binance AR/BTC,BINANCE
BINANCE:GALAETH,GALA/ETH,Binance GALA/ETH,BINANCE
BINANCE:GALTRY,GAL/TRY,Binance GAL/TRY,BINANCE
BINANCE:SANDBNB,SAND/BNB,Binance SAND/BNB,BINANCE
BINANCE:UNFIBUSD,UNFI/BUSD,Binance UNFI/BUSD,BINANCE
BINANCE:DNTBUSD,DNT/BUSD,Binance DNT/BUSD,BINANCE
